Rank,Team,Conference,Record,Rating,H2H Adjustment,SOR Score,SOS Score,Win Resume,Loss Quality,Margin Score,Vegas Score,Conference Score,Location Win Score,Explanation
122,Eastern Michigan,Mid-American,4-8,20.31,0.0,8.8,11.0,21.1,45.4,20.6,51.5,5.147058823529411,29.411764705882355,"4-8 record; strengths: Vegas #67, Loss Quality #82, Location Wins #97; biggest weakness: SOR #125"
123,Ball State,Mid-American,4-8,19.71,0.0,12.5,13.2,22.2,36.9,6.6,40.4,5.147058823529411,31.25,"4-8 record; strengths: Vegas #82, Loss Quality #128, Location Wins #94; biggest weakness: Margin #128"
124,Colorado State,Mountain West,2-10,19.56,0.0,7.4,80.1,24.7,37.4,5.1,2.2,33.455882352941174,8.823529411764707,"2-10 record; strengths: SOS #28, Loss Quality #126, Win Resume #100; biggest weakness: Vegas #134"
125,UL Monroe,Sun Belt,3-9,16.38,0.0,10.3,33.8,21.5,37.4,8.1,3.7,23.897058823529413,9.926470588235293,"3-9 record; strengths: Loss Quality #125, SOS #91, Win Resume #115; biggest weakness: Vegas #132"
126,Oklahoma State,Big 12,1-11,16.18,0.0,5.1,84.6,0.0,37.9,2.9,16.9,69.48529411764706,1.8382352941176472,"1-11 record; strengths: SOS #22, Loss Quality #122, Vegas #114; biggest weakness: Win Resume #133"
127,Charlotte,American Athletic,1-11,14.55,0.0,3.7,82.4,0.0,31.8,1.5,21.3,45.955882352941174,1.8382352941176472,"1-11 record; strengths: SOS #25, Loss Quality #135, Vegas #108; biggest weakness: Win Resume #133"
128,Middle Tennessee,Conference USA,3-9,14.5,0.0,5.9,16.2,19.5,39.6,14.0,18.4,14.338235294117647,14.338235294117647,"3-9 record; strengths: Loss Quality #115, Win Resume #124, Vegas #112; biggest weakness: SOR #129"
129,Georgia State,Sun Belt,1-11,13.82,0.0,2.9,86.0,0.0,37.8,3.7,5.1,23.897058823529413,1.8382352941176472,"1-11 record; strengths: SOS #20, Loss Quality #123, Vegas #130; biggest weakness: Win Resume #133"
130,UTEP,Conference USA,2-10,12.68,0.0,2.2,21.3,17.3,41.1,19.1,27.2,14.338235294117647,3.6764705882352944,"2-10 record; strengths: Loss Quality #108, Vegas #100, SOS #108; biggest weakness: SOR #134"
131,Northern Illinois,Mid-American,3-9,12.24,0.0,4.4,6.6,17.6,41.6,16.5,19.1,5.147058823529411,5.514705882352941,"3-9 record; strengths: Loss Quality #107, Vegas #111, Win Resume #130; biggest weakness: SOR #131"
132,Sam Houston,Conference USA,2-10,11.16,0.0,1.5,23.5,20.4,37.4,2.2,2.9,14.338235294117647,11.76470588235294,"2-10 record; strengths: Loss Quality #127, SOS #105, Win Resume #120; biggest weakness: SOR #135"
133,Massachusetts,Mid-American,0-12,4.28,0.0,0.7,19.9,0.0,22.5,0.7,0.7,5.147058823529411,1.8382352941176472,"0-12 record; strengths: Loss Quality #136, SOS #110, Location Wins #133; biggest weakness: Win Resume #133"
